ecommerce_platform_exists,cart_element_found,price_pattern_found,num_currencies_found,ecommerce_keywords_count,anchor_buy_ratio,num_html_tags,text_to_html_ratio,word_count,anchor_count,avg_price_dom_position,url,label,has_kw_cart,has_kw_00,has_kw_shop,has_kw_accessories,has_kw_shopping,has_kw_2025,has_kw_shipping,has_kw_world,has_kw_news,has_kw_ir,has_kw_products,has_kw_eur,has_kw_brands,has_kw_delivery,has_kw_items,has_kw_resources,has_kw_payment,has_kw_ai,has_kw_live,has_kw_community
1,1,0,0,2,0.002,7476,0.04,3796,1389,-1.0,https://nobananas.com,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,2,0.12,2127,0.022,1346,366,904.646,https://www.theorchard.ie,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
0,1,1,0,4,0.107,9167,0.016,5423,901,3931.0,https://eur.vevor.com,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0
1,1,0,0,0,0.001,5008,0.05,5068,1487,-1.0,https://rovana.lt,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1,1,1,0,2,0.004,13941,0.025,5416,2926,6310.513,https://plus.parts,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
0,1,1,3,2,0.016,2440,0.065,2880,491,1476.466,https://blitzhandel24.com,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1
0,1,0,0,0,0.009,10793,0.029,5988,2081,-1.0,https://www.boulanger.com,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0.0,1289,0.057,1116,300,-1.0,https://www.juvelyrikosnamai.lt,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0.019,1354,0.031,903,370,986.432,https://www.goatauthentic.com/en,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1,0,0,2,0.048,1905,0.064,2084,105,-1.0,https://fiskedeal.dk,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0
1,1,1,0,0,0.041,899,0.039,640,122,532.818,https://dviraciu-laikikliai.lt,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0.031,1927,0.01,1367,290,1203.925,https://www.playjuggling.com/it,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0.011,1124,0.017,670,183,394.333,https://www.sunware.com/nl-nl,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,3,1,0.01,3982,0.075,5869,593,2955.0,https://www.santaeulalia.com/es,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
1,1,0,0,0,0.138,7556,0.058,6720,669,-1.0,https://pulguinhas.pt,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,6,0.028,5605,0.022,2992,704,2904.918,https://www.heavins.ie,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0
0,1,1,0,0,0.0,1629,0.035,745,244,-1.0,https://e-sodotechnika.lt,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0.0,917,0.014,429,68,-1.0,https://www.dealshop.lt,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0.017,1331,0.043,881,353,606.533,https://minoti.com/en,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0.016,861,0.054,724,124,15.667,https://www.lederzentrum.de,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
